bp	wp	player	move	reaction_time	player_id	16
8613085248	1082167568	White	20	19	386	16
8613085248	1083216144	Black	28	6	63	16
8613087296	1083216144	White	28	21	392	16
0	0	Black	22	12	400	16
4096	0	White	11	10	400	16
4096	8388608	Black	11	13	399	16
2101248	8388608	White	11	8	361	16
2101248	25165824	Black	22	10	384	16
6295552	25165824	White	20	7	248	16
6295552	25182208	Black	20	9	300	16
6295584	25182208	White	20	6	99	16
6295584	25182224	Black	34	14	398	16
17186164768	25182224	White	20	9	169	16
17186164768	25214992	Black	13	11	329	16
17186230304	25214992	White	32	8	140	16
17186230304	2172698640	Black	7	24	316	16
17186230432	2172698640	White	25	1	1	16
17186230432	2206253072	Black	26	22	303	16
17253339296	2206253072	White	6	11	135	16
17253339296	2743123984	Black	6	20	240	16
18327081120	2743123984	White	3	3	20	16
18327081120	2743123992	Black	6	18	215	16
18327089312	2743123992	White	20	7	105	16
18327089312	2743126040	Black	6	16	205	16
18327089316	2743126040	White	32	15	58	16
18327089316	7038093336	Black	6	14	197	16
18327089380	7038093336	White	20	13	118	16
18327089380	7038093592	Black	19	12	194	16
0	0	Black	22	12	400	16
16384	0	White	22	8	398	16
16384	4096	Black	15	14	400	16
49152	4096	White	16	5	130	16
49152	69632	Black	24	12	396	16
4243456	69632	White	31	7	368	16
4243456	1073811456	Black	24	9	386	16
21020672	1073811456	White	23	3	30	16
21020672	1082200064	Black	6	7	133	16
21020688	1082200064	White	34	3	28	16
21020688	18262069248	Black	6	14	71	16
21028880	18262069248	White	6	3	56	16
21028880	20409552896	Black	6	24	366	16
23126032	20409552896	White	20	23	340	16
23126032	24704520192	Black	33	2	23	16
8613060624	24704520192	White	6	1	1	16
0	0	Black	22	12	400	16
4096	0	White	11	10	400	16
4096	16777216	Black	13	13	400	16
20480	16777216	White	13	3	37	16
20480	16785408	Black	22	10	396	16
4214784	16785408	White	32	8	275	16
4214784	16785472	Black	21	12	399	16
4215808	16785472	White	11	8	198	16
4215808	25174080	Black	11	10	205	16
4281344	25174080	White	11	11	197	16
4281344	25206848	Black	33	10	164	16
8594215936	25206848	White	11	8	81	16
8594215936	25206976	Black	31	6	123	16
10741699584	25206976	White	11	3	24	16
10741699584	25207008	Black	11	4	44	16
10741699600	25207008	White	8	4	42	16
0	0	Black	22	12	400	16
16777216	0	White	23	9	394	16
16777216	8	Black	23	10	399	16
25165824	8	White	22	3	54	16
25165824	4194312	Black	25	11	396	16
25198592	4194312	White	25	11	309	16
25198592	37748744	Black	31	8	288	16
25214976	37748744	White	32	5	245	16
25214976	37814280	Black	31	10	343	16
25215040	37814280	White	33	1	1	16
25215040	8627748872	Black	7	7	104	16
25215168	8627748872	White	31	1	1	16
25215168	10775232520	Black	5	5	54	16
25215200	10775232520	White	32	1	1	16
25215200	15070199816	Black	4	1	1	16
0	0	Black	22	12	400	16
32768	0	White	14	11	390	16
32768	2097152	Black	14	10	400	16
34816	2097152	White	14	12	392	16
34816	6291456	Black	23	13	400	16
1083392	6291456	White	29	14	364	16
1083392	6291464	Black	2	13	400	16
1087488	6291464	White	10	5	79	16
1087488	6299656	Black	23	19	385	16
9476096	6299656	White	31	9	239	16
9476096	6299672	Black	31	12	204	16
2156959744	6299672	White	7	5	34	16
